CSI_DATA,state,locationX,locationY
[28 -64 1 0 0 0 0 0 0 0 0 0 12 0 12 1 13 1 13 2 12 2 12 3 12 3 11 3 11 4 10 4 12 4 11 4 11 4 11 4 10 4 11 4 10 4 9 3 10 4 10 4 10 4 9 4 9 3 10 4 10 3 10 3 0 0 10 3 9 3 10 3 9 2 10 2 10 2 10 2 10 2 10 1 9 1 10 2 9 1 10 1 10 1 10 1 10 1 10 1 10 0 10 0 10 0 10 0 10 0 10 -1 11 0 10 -1 10 -1 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[28 -64 1 0 0 0 0 0 0 0 0 0 -17 17 -19 16 -20 15 -21 16 -20 14 -21 13 -21 12 -20 11 -21 11 -20 11 -21 11 -21 11 -21 11 -20 11 -20 10 -21 9 -21 9 -18 9 -19 9 -19 8 -19 9 -19 8 -17 9 -18 10 -18 10 -18 10 0 0 -17 11 -17 10 -18 12 -16 11 -16 11 -16 12 -17 12 -16 11 -16 12 -15 12 -16 13 -15 13 -15 14 -15 13 -15 13 -16 14 -14 14 -14 14 -15 15 -13 14 -14 15 -14 15 -13 15 -13 16 -12 16 -12 16 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[-99 -48 9 0 0 0 0 0 0 0 0 0 -2 23 -4 24 -4 25 -5 25 -5 23 -7 23 -8 23 -8 22 -8 21 -9 21 -9 23 -9 22 -9 22 -9 20 -9 19 -10 21 -9 20 -8 18 -9 19 -9 18 -9 18 -8 18 -7 17 -7 19 -7 19 -8 18 0 0 -7 18 -6 19 -6 20 -5 19 -5 19 -5 19 -5 19 -5 18 -3 19 -4 18 -4 20 -3 19 -2 19 -3 19 -3 19 -3 20 -2 20 -2 20 -2 20 -1 19 -1 20 -1 20 0 20 0 21 1 20 1 20 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[-121 112 8 0 0 0 0 0 0 0 0 0 18 -39 20 -40 21 -37 24 -40 24 -35 26 -35 26 -34 25 -32 26 -32 24 -30 27 -33 26 -32 26 -30 26 -30 27 -29 27 -29 28 -29 24 -26 26 -27 25 -26 23 -25 25 -26 21 -24 23 -30 23 -28 23 -28 0 0 21 -27 21 -26 22 -29 19 -27 20 -29 19 -29 19 -29 17 -28 18 -29 15 -27 17 -30 15 -29 15 -30 16 -31 15 -29 16 -32 14 -31 13 -32 14 -33 12 -32 12 -32 12 -32 10 -31 11 -35 9 -33 9 -35 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[-122 -31 23 0 0 0 0 0 0 0 0 0 -1 17 -2 18 -2 18 -3 18 -3 17 -4 17 -5 16 -5 17 -6 16 -5 15 -6 16 -7 16 -6 16 -6 15 -6 15 -7 15 -6 15 -6 14 -6 14 -5 14 -6 14 -5 14 -6 13 -5 13 -5 14 -5 13 0 0 -5 13 -4 13 -4 14 -4 13 -4 13 -3 13 -3 14 -3 13 -3 14 -2 13 -3 14 -2 13 -2 14 -1 14 -2 13 -1 14 -1 14 -1 14 -1 14 0 14 0 14 0 14 1 14 1 14 1 15 1 15 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[-122 -31 23 0 0 0 0 0 0 0 0 0 5 10 4 10 4 10 4 11 3 11 3 11 2 11 2 11 2 11 2 10 1 11 1 11 1 10 1 10 1 10 1 10 1 10 1 10 1 10 1 9 1 9 1 9 1 9 1 9 1 9 1 9 0 0 1 9 2 9 2 9 2 9 2 8 2 8 2 8 2 8 2 8 2 8 2 8 3 8 3 8 3 8 3 8 3 8 4 8 4 8 4 8 4 7 4 8 4 7 4 8 5 8 4 8 5 8 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[82 -96 4 0 0 0 0 0 0 0 0 0 13 14 13 15 12 15 12 16 11 16 10 16 9 16 9 16 9 17 9 16 8 16 8 17 8 16 8 16 7 16 6 16 7 16 6 15 7 15 6 15 7 15 6 15 6 14 6 14 6 14 7 14 0 0 7 14 7 13 8 14 7 13 7 13 8 13 8 13 8 12 8 13 9 12 9 12 9 12 9 12 10 11 9 11 10 12 10 11 10 11 10 11 11 11 11 11 11 10 12 10 12 10 12 10 12 10 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[82 -96 4 0 0 0 0 0 0 0 0 0 -9 8 -9 8 -10 7 -10 7 -10 7 -10 6 -10 6 -10 6 -10 5 -10 5 -10 5 -11 5 -10 4 -10 4 -10 5 -10 4 -10 4 -10 4 -10 4 -9 4 -9 4 -10 4 -9 3 -9 4 -9 4 -9 4 0 0 -9 4 -9 4 -8 4 -8 5 -8 4 -8 5 -8 5 -8 5 -8 5 -8 5 -8 5 -7 6 -7 5 -7 6 -8 5 -8 6 -7 6 -7 6 -7 6 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 -7 7 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[82 -96 4 0 0 0 0 0 0 0 0 0 13 14 13 14 13 15 12 16 11 16 10 16 10 16 9 16 9 16 9 16 8 16 8 16 8 16 8 16 7 15 7 16 7 15 6 15 7 15 7 15 7 14 7 14 6 14 7 14 7 14 7 14 0 0 7 13 8 13 8 13 8 13 8 12 8 12 9 12 9 11 8 12 9 11 9 12 10 11 10 11 10 10 10 11 11 10 11 10 11 10 11 10 12 9 12 10 12 9 12 9 13 9 12 9 13 9 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
[82 -96 4 0 0 0 0 0 0 0 0 0 6 -17 8 -18 7 -17 9 -17 9 -16 10 -16 10 -15 11 -14 11 -14 10 -14 11 -14 11 -14 10 -14 10 -13 11 -13 11 -12 11 -12 10 -12 10 -12 10 -11 10 -12 10 -12 10 -11 9 -12 9 -12 9 -12 0 0 9 -12 8 -12 9 -12 8 -12 8 -12 8 -12 8 -12 7 -12 8 -12 7 -13 7 -13 6 -13 6 -13 6 -13 7 -13 7 -14 6 -14 6 -14 6 -14 6 -14 6 -14 5 -14 4 -14 4 -15 4 -15 5 -15 0 0 0 0 0 0 0 0 0 0 ],0,-1,-1
